po_number,vendor_id,order_date,expected_delivery_date,actual_delivery_date,po_status
PO-2023-0338,V-1002,2023-03-17,2023-04-16,2023-04-26,Delayed
PO-2023-0339,V-1005,2023-01-25,2023-02-09,2023-02-09,Delivered On Time
PO-2023-0340,V-1002,2023-02-28,2023-03-14,2023-03-16,Delayed
PO-2023-0341,V-1003,2023-12-19,2024-01-10,2024-01-11,Delayed
PO-2023-0342,V-1005,2023-06-12,2023-07-06,2023-07-10,Delayed
PO-2023-0343,V-1003,2023-02-08,2023-03-04,2023-03-03,Delivered On Time
PO-2023-0344,V-1002,2023-11-16,2023-12-14,2023-12-21,Delayed
PO-2023-0345,V-1001,2023-10-10,2023-10-26,2023-10-27,Delayed
PO-2023-0346,V-1004,2023-03-08,2023-04-07,2023-04-06,Delivered On Time
PO-2023-0347,V-1002,2023-03-29,2023-04-14,2023-05-01,Delayed
PO-2023-0348,V-1005,2023-06-11,2023-06-26,2023-06-27,Delayed
PO-2023-0349,V-1002,2023-02-08,2023-02-27,2023-03-08,Delayed
PO-2023-0350,V-1003,2023-05-27,2023-06-13,2023-06-13,Delivered On Time
PO-2023-0351,V-1003,2023-09-22,2023-10-16,2023-10-16,Delivered On Time
PO-2023-0352,V-1003,2023-02-02,2023-02-23,2023-02-28,Delayed
PO-2023-0353,V-1002,2023-12-01,2023-12-21,2023-12-27,Delayed
PO-2023-0354,V-1002,2023-04-16,2023-05-13,2023-05-23,Delayed
PO-2023-0355,V-1002,2023-04-09,2023-04-29,2023-05-06,Delayed
PO-2023-0356,V-1005,2023-03-21,2023-04-12,2023-04-14,Delayed
PO-2023-0357,V-1002,2023-08-22,2023-09-21,2023-09-22,Delayed
PO-2023-0358,V-1001,2023-01-12,2023-02-04,2023-02-05,Delayed
PO-2023-0359,V-1002,2023-08-09,2023-08-28,2023-08-27,Delivered On Time
PO-2023-0360,V-1005,2023-12-10,2023-12-23,2023-12-23,Delivered On Time
PO-2023-0361,V-1003,2023-04-15,2023-05-12,2023-05-14,Delayed
PO-2023-0362,V-1002,2023-07-26,2023-08-19,2023-08-20,Delayed
PO-2023-0363,V-1003,2023-08-18,2023-09-10,2023-09-11,Delayed
PO-2023-0364,V-1003,2023-11-28,2023-12-12,2023-12-12,Delivered On Time
PO-2023-0365,V-1002,2023-11-15,2023-12-07,2023-12-08,Delayed
PO-2023-0366,V-1005,2023-05-12,2023-05-29,2023-05-29,Delivered On Time
PO-2023-0367,V-1002,2023-07-13,2023-08-07,2023-08-22,Delayed
PO-2023-0368,V-1002,2023-01-12,2023-01-24,2023-01-26,Delayed
PO-2023-0369,V-1002,2023-07-28,2023-08-19,2023-08-25,Delayed
PO-2023-0370,V-1005,2023-10-22,2023-11-12,2023-11-13,Delayed
PO-2023-0371,V-1002,2023-03-31,2023-04-26,2023-05-12,Delayed
PO-2023-0372,V-1005,2023-05-08,2023-05-31,2023-05-29,Delivered On Time
PO-2023-0373,V-1002,2023-04-15,2023-05-01,2023-05-15,Delayed
PO-2023-0374,V-1002,2023-02-18,2023-03-13,2023-03-29,Delayed
PO-2023-0375,V-1001,2023-02-13,2023-03-05,2023-03-03,Delivered On Time
PO-2023-0376,V-1002,2023-01-08,2023-02-07,2023-02-05,Delivered On Time
PO-2023-0377,V-1001,2023-03-15,2023-04-01,2023-04-04,Delayed
PO-2023-0378,V-1002,2023-01-24,2023-02-06,2023-02-23,Delayed
PO-2023-0379,V-1001,2023-10-31,2023-11-24,2023-11-22,Delivered On Time
PO-2023-0380,V-1002,2023-01-15,2023-02-06,2023-02-24,Delayed
PO-2023-0381,V-1005,2023-01-27,2023-02-09,2023-02-09,Delivered On Time
PO-2023-0382,V-1002,2023-03-22,2023-04-19,2023-04-19,Delivered On Time
PO-2023-0383,V-1001,2023-12-09,2023-12-28,2023-12-27,Delivered On Time
PO-2023-0384,V-1004,2023-02-22,2023-03-08,2023-03-07,Delivered On Time
PO-2023-0385,V-1005,2023-11-26,2023-12-17,2023-12-18,Delayed
PO-2023-0386,V-1003,2023-04-04,2023-04-28,2023-04-29,Delayed
PO-2023-0387,V-1002,2023-12-10,2024-01-06,2024-01-05,Delivered On Time
PO-2023-0388,V-1002,2023-02-05,2023-03-02,2023-03-20,Delayed
PO-2023-0389,V-1004,2023-12-04,2023-12-18,2023-12-17,Delivered On Time
PO-2023-0390,V-1002,2023-01-02,2023-01-18,2023-01-16,Delivered On Time
PO-2023-0391,V-1005,2023-06-30,2023-07-27,2023-07-29,Delayed
PO-2023-0392,V-1001,2023-06-21,2023-07-10,2023-07-11,Delayed
PO-2023-0393,V-1002,2023-06-13,2023-07-12,2023-07-10,Delivered On Time
PO-2023-0394,V-1005,2023-02-10,2023-03-11,2023-03-12,Delayed
PO-2023-0395,V-1005,2023-06-15,2023-06-30,2023-07-02,Delayed
PO-2023-0396,V-1001,2023-06-06,2023-06-27,2023-06-28,Delayed
PO-2023-0397,V-1002,2023-05-17,2023-06-07,2023-06-05,Delivered On Time
PO-2023-0398,V-1001,2023-02-05,2023-03-02,2023-03-02,Delivered On Time
PO-2023-0399,V-1002,2023-08-31,2023-09-27,2023-10-15,Delayed
PO-2023-0400,V-1002,2023-05-31,2023-06-15,2023-06-21,Delayed
PO-2023-0401,V-1003,2023-07-10,2023-07-27,2023-07-26,Delivered On Time
PO-2023-0402,V-1002,2023-11-27,2023-12-14,2024-01-01,Delayed
PO-2023-0403,V-1003,2023-04-23,2023-05-11,2023-05-15,Delayed
PO-2023-0404,V-1002,2023-07-01,2023-07-13,2023-07-27,Delayed
PO-2023-0405,V-1002,2023-10-04,2023-10-16,2023-10-15,Delivered On Time
PO-2023-0406,V-1003,2023-06-18,2023-07-18,2023-07-17,Delivered On Time
PO-2023-0407,V-1001,2023-04-15,2023-04-30,2023-05-02,Delayed
PO-2023-0408,V-1003,2023-08-11,2023-09-09,2023-09-08,Delivered On Time
PO-2023-0409,V-1005,2023-01-29,2023-02-08,2023-02-06,Delivered On Time
PO-2023-0410,V-1002,2023-03-03,2023-03-17,2023-03-26,Delayed
PO-2023-0411,V-1001,2023-09-28,2023-10-12,2023-10-13,Delayed
PO-2023-0412,V-1005,2023-08-30,2023-09-15,2023-09-14,Delivered On Time
PO-2023-0413,V-1002,2023-05-25,2023-06-06,2023-06-17,Delayed
PO-2023-0414,V-1002,2023-10-13,2023-10-26,2023-11-11,Delayed
PO-2023-0415,V-1003,2023-01-29,2023-02-21,2023-02-22,Delayed
PO-2023-0416,V-1003,2023-01-21,2023-02-09,2023-02-08,Delivered On Time
PO-2023-0417,V-1004,2023-12-10,2024-01-03,2024-01-02,Delivered On Time
PO-2023-0418,V-1001,2023-08-06,2023-08-23,2023-08-27,Delayed
PO-2023-0419,V-1002,2023-04-30,2023-05-24,2023-05-23,Delivered On Time
PO-2023-0420,V-1002,2023-05-31,2023-06-30,2023-07-15,Delayed
PO-2023-0421,V-1002,2023-04-18,2023-05-12,2023-05-11,Delivered On Time
PO-2023-0422,V-1003,2023-08-09,2023-08-26,2023-08-27,Delayed
PO-2023-0423,V-1002,2023-11-24,2023-12-22,2024-01-11,Delayed
PO-2023-0424,V-1003,2023-01-12,2023-02-02,2023-01-31,Delivered On Time
PO-2023-0425,V-1003,2023-09-06,2023-09-18,2023-09-22,Delayed
PO-2023-0426,V-1003,2023-04-05,2023-04-27,2023-04-28,Delayed
PO-2023-0427,V-1004,2023-02-22,2023-03-09,2023-03-08,Delivered On Time
PO-2023-0428,V-1001,2023-12-21,2024-01-08,2024-01-07,Delivered On Time
PO-2023-0429,V-1002,2023-02-17,2023-03-01,2023-03-02,Delayed
PO-2023-0430,V-1002,2023-05-06,2023-05-25,2023-05-31,Delayed
PO-2023-0431,V-1001,2023-09-23,2023-10-22,2023-10-29,Delayed
PO-2023-0432,V-1002,2023-06-26,2023-07-14,2023-07-12,Delivered On Time
PO-2023-0433,V-1002,2023-02-24,2023-03-23,2023-04-08,Delayed
PO-2023-0434,V-1005,2023-11-16,2023-11-26,2023-11-27,Delayed
PO-2023-0435,V-1002,2023-10-16,2023-11-13,2023-11-15,Delayed
PO-2023-0436,V-1002,2023-05-04,2023-05-19,2023-05-18,Delivered On Time
PO-2023-0437,V-1005,2023-11-01,2023-11-26,2023-11-29,Delayed
PO-2023-0438,V-1002,2023-04-11,2023-04-30,2023-04-30,Delivered On Time
PO-2023-0439,V-1001,2023-07-18,2023-08-03,2023-08-05,Delayed
PO-2023-0440,V-1002,2023-01-14,2023-02-03,2023-02-13,Delayed
PO-2023-0441,V-1002,2023-10-22,2023-11-19,2023-11-26,Delayed
PO-2023-0442,V-1001,2023-03-24,2023-04-09,2023-04-13,Delayed
PO-2023-0443,V-1005,2023-09-11,2023-09-21,2023-09-20,Delivered On Time
PO-2023-0444,V-1002,2023-11-25,2023-12-07,2023-12-21,Delayed
PO-2023-0445,V-1002,2023-04-19,2023-05-06,2023-05-16,Delayed
PO-2023-0446,V-1003,2023-12-15,2023-12-31,2024-01-05,Delayed
PO-2023-0447,V-1005,2023-10-26,2023-11-22,2023-11-29,Delayed
PO-2023-0448,V-1003,2023-10-06,2023-11-01,2023-11-03,Delayed
PO-2023-0449,V-1002,2023-01-04,2023-01-29,2023-02-18,Delayed
PO-2023-0450,V-1002,2023-10-23,2023-11-12,2023-11-13,Delayed
PO-2023-0451,V-1004,2023-07-03,2023-07-19,2023-07-16,Delivered On Time
PO-2023-0452,V-1005,2023-07-29,2023-08-27,2023-08-27,Delivered On Time
PO-2023-0453,V-1002,2023-04-16,2023-04-27,2023-05-08,Delayed
PO-2023-0454,V-1003,2023-01-22,2023-02-08,2023-02-06,Delivered On Time
PO-2023-0455,V-1005,2023-11-11,2023-11-28,2023-11-30,Delayed
PO-2023-0456,V-1001,2023-12-05,2023-12-24,2023-12-24,Delivered On Time
PO-2023-0457,V-1001,2023-01-07,2023-02-03,2023-02-04,Delayed
PO-2023-0458,V-1001,2023-06-10,2023-06-29,2023-07-01,Delayed
PO-2023-0459,V-1001,2023-03-14,2023-03-28,2023-03-29,Delayed
PO-2023-0460,V-1002,2023-11-11,2023-12-01,2023-12-07,Delayed
PO-2023-0461,V-1002,2023-01-21,2023-02-05,2023-02-10,Delayed
PO-2023-0462,V-1003,2023-02-06,2023-02-25,2023-02-23,Delivered On Time
PO-2023-0463,V-1005,2023-06-28,2023-07-22,2023-07-23,Delayed
PO-2023-0464,V-1002,2023-08-20,2023-09-18,2023-09-27,Delayed
PO-2023-0465,V-1003,2023-12-16,2024-01-09,2024-01-12,Delayed
PO-2023-0466,V-1002,2023-10-30,2023-11-25,2023-12-11,Delayed
PO-2023-0467,V-1004,2023-11-14,2023-12-01,2023-11-28,Delivered On Time
PO-2023-0468,V-1002,2023-04-05,2023-05-04,2023-05-10,Delayed
PO-2023-0469,V-1002,2023-03-01,2023-03-27,2023-04-09,Delayed
PO-2023-0470,V-1002,2023-07-21,2023-08-13,2023-08-27,Delayed
PO-2023-0471,V-1003,2023-07-05,2023-07-25,2023-07-27,Delayed
PO-2023-0472,V-1002,2023-06-04,2023-07-02,2023-07-09,Delayed
PO-2023-0473,V-1005,2023-11-07,2023-11-29,2023-12-05,Delayed
PO-2023-0474,V-1002,2023-06-30,2023-07-22,2023-07-23,Delayed
PO-2023-0475,V-1002,2023-10-11,2023-10-30,2023-10-30,Delivered On Time
PO-2023-0476,V-1002,2023-01-18,2023-02-05,2023-02-04,Delivered On Time
PO-2023-0477,V-1002,2023-07-17,2023-07-27,2023-08-12,Delayed
PO-2023-0478,V-1005,2023-10-23,2023-11-13,2023-11-12,Delivered On Time
PO-2023-0479,V-1001,2023-05-29,2023-06-22,2023-06-21,Delivered On Time
PO-2023-0480,V-1004,2023-11-06,2023-12-05,2023-12-05,Delivered On Time
PO-2023-0481,V-1001,2023-03-20,2023-04-17,2023-04-17,Delivered On Time
PO-2023-0482,V-1005,2023-12-05,2023-12-16,2023-12-16,Delivered On Time
PO-2023-0483,V-1003,2023-03-04,2023-03-14,2023-03-12,Delivered On Time
PO-2023-0484,V-1002,2023-08-17,2023-09-14,2023-09-20,Delayed
PO-2023-0485,V-1002,2023-05-03,2023-05-15,2023-05-16,Delayed
PO-2023-0486,V-1003,2023-10-15,2023-10-26,2023-10-29,Delayed
PO-2023-0487,V-1002,2023-12-15,2024-01-05,2024-01-03,Delivered On Time
PO-2023-0488,V-1005,2023-10-12,2023-11-05,2023-11-06,Delayed
PO-2023-0489,V-1002,2023-04-14,2023-04-24,2023-04-25,Delayed
PO-2023-0490,V-1002,2023-05-21,2023-06-16,2023-06-28,Delayed
PO-2023-0491,V-1005,2023-05-27,2023-06-23,2023-06-30,Delayed
PO-2023-0492,V-1002,2023-09-16,2023-10-04,2023-10-03,Delivered On Time
PO-2023-0493,V-1002,2023-10-18,2023-10-30,2023-10-30,Delivered On Time
PO-2023-0494,V-1002,2023-08-11,2023-08-24,2023-08-24,Delivered On Time
PO-2023-0495,V-1001,2023-07-05,2023-07-16,2023-07-16,Delivered On Time
PO-2023-0496,V-1002,2023-04-18,2023-05-11,2023-05-19,Delayed
PO-2023-0497,V-1003,2023-12-14,2024-01-01,2023-12-30,Delivered On Time
PO-2023-0498,V-1002,2023-04-18,2023-05-09,2023-05-07,Delivered On Time
PO-2023-0499,V-1005,2023-08-16,2023-09-06,2023-09-12,Delayed
PO-2023-0500,V-1002,2023-11-02,2023-11-19,2023-12-01,Delayed
